"","i","test","test.number","avg.pval","avg.stat","flag"
"210",0.19,"Chi-Square Test for Benford Distribution","t1",0,2695.73403656277,0
"211",0.19,"Euclidean Distance Test for Benford Distribution","t2",0,20.4635268873653,0
"212",0.19,"Joint Digits Test","t3",0,2695.73403656277,0
"213",0.19,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.289335763336185,0
"214",0.19,"K-S Test for Benford Distribution","t5",0,17.5389254719662,0
"215",0.19,"Chebyshev Distance Test for Benford Distribution","t6",0,15.9787995663981,0
"216",0.19,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,73.3218619504197,0
"217",0.19,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0589325535889355,0
"218",0.19,"Mantissa Arc Test","t9",0,0.130151577707087,0
"219",0.19,"Mean Absolute Deviation","t10",NA,0.0510580477123124,0
"220",0.19,"Distortion Factor","t11",NA,2.43343572993831,1
"221",0.2,"Chi-Square Test for Benford Distribution","t1",0,2636.72078847098,0
"222",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,20.187456937972,0
"223",0.2,"Joint Digits Test","t3",0,2636.72078847098,0
"224",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.303086812756104,0
"225",0.2,"K-S Test for Benford Distribution","t5",0,17.3607254719662,0
"226",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,15.6919995663981,0
"227",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,71.6042871767455,0
"228",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0579375471529979,0
"229",0.2,"Mantissa Arc Test","t9",0,0.126767017379414,0
"230",0.2,"Mean Absolute Deviation","t10",NA,0.0504780477123124,0
"231",0.2,"Distortion Factor","t11",NA,2.44316131882732,1
"232",0.21,"Chi-Square Test for Benford Distribution","t1",0,2564.97019710112,0
"233",0.21,"Euclidean Distance Test for Benford Distribution","t2",0,19.9512101883828,0
"234",0.21,"Joint Digits Test","t3",0,2564.97019710113,0
"235",0.21,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.314596862720981,0
"236",0.21,"K-S Test for Benford Distribution","t5",0,17.0697254719662,0
"237",0.21,"Chebyshev Distance Test for Benford Distribution","t6",0,15.5713995663981,0
"238",0.21,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,69.6898473409768,0
"239",0.21,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0571763636322301,0
"240",0.21,"Mantissa Arc Test","t9",0,0.123484668926656,0
"241",0.21,"Mean Absolute Deviation","t10",NA,0.0497793810456457,0
"242",0.21,"Distortion Factor","t11",NA,2.31308439879081,1
"243",0.22,"Chi-Square Test for Benford Distribution","t1",0,2477.15576347766,0
"244",0.22,"Euclidean Distance Test for Benford Distribution","t2",0,19.6403478864288,0
"245",0.22,"Joint Digits Test","t3",0,2477.15576347767,0
"246",0.22,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.330196217896167,0
"247",0.22,"K-S Test for Benford Distribution","t5",0,16.8103254719662,0
"248",0.22,"Chebyshev Distance Test for Benford Distribution","t6",0,15.3429995663981,0
"249",0.22,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,67.3350621507721,0
"250",0.22,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0562853184616526,0
"251",0.22,"Mantissa Arc Test","t9",0,0.119882866680671,0
"252",0.22,"Mean Absolute Deviation","t10",NA,0.0489118970725107,0
"253",0.22,"Distortion Factor","t11",NA,2.26221240422412,1
"254",0.23,"Chi-Square Test for Benford Distribution","t1",0,2421.19843075801,0
"255",0.23,"Euclidean Distance Test for Benford Distribution","t2",0,19.4073844022955,0
"256",0.23,"Joint Digits Test","t3",0,2421.19843075801,0
"257",0.23,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.341964807379673,0
"258",0.23,"K-S Test for Benford Distribution","t5",0,16.6317254719662,0
