"","model","parameter.set.j.","measure","tr.stats.chisq.statistic","tr.stats.chisq.p.value","tr.MAD","tr.stats.mantissa.arc.test.statistic","tr.stats.mantissa.arc.test.p.value","tr.distortion.factor"
"X-squared7308","small.world",0.00455555555555556,"betweenness",143.567053261459,4.29543008683554e-27,0.0112288879253292,0.00814618281425297,4.18386393222871e-36,-6.1137555643205
"X-squared7309","small.world",0.00455555555555556,"betweenness",154.355870985074,2.41749048314764e-29,0.0111399990364403,0.0079913659118676,1.96760907100439e-35,-5.60721164012953
"X-squared7310","small.world",0.00455555555555556,"betweenness",151.356180905614,1.02213673634623e-28,0.0124355536284361,0.00837023163522128,4.451904973758e-37,-2.69923011129039
"X-squared7311","small.world",0.00455555555555556,"betweenness",188.174062249021,1.97187446268998e-36,0.0122511101475514,0.0116949704380337,1.61952899373116e-51,-6.60964532169289
"X-squared7312","small.world",0.00455555555555556,"betweenness",146.207772268891,1.21058886491202e-27,0.010517776814218,0.00806460679054183,9.4592721690116e-36,-6.04982579961551
"X-squared7313","small.world",0.00455555555555556,"betweenness",196.722106096552,3.13305174635151e-38,0.0126955545919958,0.0123043338358715,3.65558692959758e-54,-7.08979800554928
"X-squared7314","small.world",0.00455555555555556,"betweenness",157.477289574419,5.38645372341126e-30,0.0113622212586625,0.010881076870079,5.5473246302064e-48,-6.01662581566319
"X-squared7315","small.world",0.00455555555555556,"betweenness",177.683851790664,3.15420789606082e-34,0.0125866685937861,0.0107901983599385,1.37646108102342e-47,-7.32692441907003
"X-squared7316","small.world",0.00455555555555556,"betweenness",128.937587195271,4.6969659404105e-24,0.00978666859378614,0.00763939157764271,6.64574888854552e-34,-6.13484717387157
"X-squared7317","small.world",0.00455555555555556,"betweenness",149.372588607773,2.65023491436909e-28,0.0108955545919958,0.00877840600331928,7.51392971755254e-39,-5.50136237427499
"X-squared7318","small.world",0.00455555555555556,"betweenness",116.373088441991,1.85694302172148e-21,0.0102511101475514,0.00755736452752045,1.50932539632298e-33,-5.31105555192954
"X-squared7319","small.world",0.00455555555555556,"betweenness",149.936960453575,2.02106118985663e-28,0.0113911091839916,0.00961810513774407,1.69472846152573e-42,-4.51602298792018
"X-squared7320","small.world",0.00455555555555556,"betweenness",203.950215539535,9.39599042737791e-40,0.0126733323697736,0.0112702726018432,1.1319519572365e-49,-6.700096419677
"X-squared7321","small.world",0.00455555555555556,"betweenness",205.397170593937,4.65436322659709e-40,0.0125622212586625,0.0119700823277748,1.03417246682094e-52,-6.67487365037229
"X-squared7322","small.world",0.00455555555555556,"betweenness",128.890859018488,4.80285503041274e-24,0.0104577758506583,0.00729151457781942,2.15453990072161e-32,-4.54672628279759
"X-squared7323","small.world",0.00455555555555556,"betweenness",136.945351411204,1.02390121502403e-25,0.00972444251732498,0.00758594027316704,1.13417479896318e-33,-5.11473027996821
"X-squared7324","small.world",0.00455555555555556,"betweenness",107.031271322039,1.54992347098006e-19,0.00841333140621387,0.00670240719430419,7.79498709359343e-30,-4.3838701593954
"X-squared7325","small.world",0.00455555555555556,"betweenness",191.648135115276,3.66500739941924e-37,0.013324442517325,0.0106535281765478,5.39902080781646e-47,-3.70892774292843
"X-squared7326","small.world",0.00455555555555556,"betweenness",183.432856373499,1.95673850554647e-35,0.0127844434808847,0.00951723714158443,4.64691003403434e-42,-6.67996254760251
"X-squared7327","small.world",0.00455555555555556,"betweenness",168.007632864495,3.37249860251638e-32,0.0110311130382306,0.00830661576956904,8.41058259016621e-37,-6.50630120276463
